Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,total_hours,minimum_hours,maximum_hours,mean_hours,std_min,absences,absences_pct,of_absence,total_absences,Expected_time_vs_real_time,Expected_vacations_time_vs_real_time,cl
28.0,No,Travel_Rarely,Research & Development,1.0,Bachelor,Life Sciences,1,15,Male,1,Manufacturing Director,Married,25920.0,1.0,Y,14.0,8.0,0,5.0,2.0,5.0,0.0,4.0,4.0,4.0,2.0,3,3,1464.0,5.321111111111111,7.136388888888888,6.089444444444443,17.383333333333333,8.0,0.0321285140562249,12.0,20.0,0.7349397590361446,0.7593360995850622,1
37.0,No,Travel_Rarely,Research & Development,1.0,Bachelor,Life Sciences,1,16,Male,2,Healthcare Representative,Married,53460.0,4.0,Y,11.0,8.0,0,7.0,2.0,5.0,0.0,1.0,3.0,4.0,4.0,3,3,1584.0,5.911666666666667,7.608888888888888,6.705,19.03333333333333,12.0,0.04819277108433735,12.0,24.0,0.7951807228915663,0.8354430379746836,0
21.0,No,Travel_Rarely,Research & Development,3.0,College,Life Sciences,1,17,Male,1,Laboratory Technician,Single,42130.0,1.0,Y,12.0,8.0,3,3.0,3.0,3.0,1.0,0.0,4.0,3.0,4.0,2,3,1488.0,5.7941666666666665,7.633888888888888,6.618888888888888,18.83333333333333,22.0,0.08835341365461848,12.0,34.0,0.7469879518072289,0.8193832599118943,1
37.0,No,Non-Travel,Research & Development,1.0,Bachelor,Medical,1,18,Male,2,Sales Executive,Divorced,41270.0,2.0,Y,13.0,8.0,1,15.0,2.0,5.0,0.0,2.0,1.0,4.0,3.0,3,3,2688.0,10.202777777777778,11.696388888888887,11.014166666666664,18.566666666666666,3.0,0.012048192771084338,12.0,15.0,1.3493975903614457,1.3658536585365857,0
35.0,No,Travel_Rarely,Sales,7.0,Master,Life Sciences,1,19,Male,1,Sales Representative,Divorced,24380.0,7.0,Y,16.0,8.0,0,10.0,5.0,7.0,6.0,2.0,2.0,2.0,2.0,2,3,1608.0,6.050277777777778,7.978333333333333,6.96,18.883333333333333,17.0,0.06827309236947791,12.0,29.0,0.8072289156626506,0.8663793103448276,3
38.0,No,Travel_Rarely,Research & Development,8.0,Bachelor,Life Sciences,1,20,Female,1,Manager,Divorced,68700.0,1.0,Y,11.0,8.0,1,8.0,5.0,8.0,7.0,7.0,1.0,1.0,3.0,3,3,2136.0,8.471388888888889,10.172777777777778,9.293333333333333,17.766666666666666,18.0,0.07228915662650602,12.0,30.0,1.072289156626506,1.155844155844156,1
26.0,No,Travel_Frequently,Research & Development,1.0,Master,Other,1,21,Male,2,Laboratory Technician,Divorced,104470.0,1.0,Y,18.0,8.0,0,6.0,3.0,6.0,1.0,4.0,3.0,2.0,1.0,3,3,1752.0,6.858055555555557,8.41638888888889,7.5905555555555555,19.066666666666666,17.0,0.06827309236947791,12.0,29.0,0.8795180722891566,0.9439655172413792,1
50.0,No,Travel_Rarely,Sales,8.0,Master,Life Sciences,1,22,Male,1,Research Scientist,Divorced,96670.0,3.0,Y,23.0,8.0,0,28.0,2.0,10.0,1.0,6.0,1.0,2.0,2.0,2,4,1392.0,5.245,6.816944444444443,6.008611111111112,17.566666666666666,16.0,0.0642570281124498,12.0,28.0,0.6987951807228916,0.7467811158798283,3
53.0,No,Travel_Rarely,Research & Development,11.0,Master,Life Sciences,1,23,Female,2,Research Scientist,Married,21480.0,3.0,Y,11.0,8.0,0,21.0,2.0,5.0,1.0,3.0,3.0,3.0,2.0,3,3,1944.0,7.6402777777777775,9.423333333333334,8.401944444444442,18.166666666666668,17.0,0.06827309236947791,12.0,29.0,0.9759036144578314,1.0474137931034482,0
42.0,No,Travel_Rarely,Research & Development,4.0,Master,Life Sciences,1,24,Male,1,Manufacturing Director,Married,89260.0,1.0,Y,14.0,8.0,0,10.0,4.0,20.0,11.0,6.0,2.0,3.0,3.0,1,3,1632.0,6.043055555555554,7.5275,6.8069444444444445,18.933333333333334,7.0,0.028112449799196783,12.0,19.0,0.8192771084337349,0.8429752066115702,3
29.0,No,Travel_Frequently,Research & Development,16.0,Master,Medical,1,25,Male,1,Laboratory Technician,Single,65130.0,1.0,Y,11.0,8.0,1,10.0,2.0,10.0,0.0,9.0,2.0,4.0,2.0,3,3,1632.0,6.252222222222222,8.049444444444445,7.093055555555557,19.316666666666666,18.0,0.07228915662650602,12.0,30.0,0.8192771084337349,0.8831168831168831,1
55.0,No,Travel_Rarely,Research & Development,1.0,Master,Other,1,26,Female,1,Research Scientist,Married,67990.0,3.0,Y,11.0,8.0,0,12.0,2.0,10.0,0.0,8.0,2.0,4.0,3.0,3,3,2256.0,8.466666666666667,10.199444444444444,9.361944444444443,16.866666666666667,8.0,0.0321285140562249,12.0,20.0,1.1325301204819278,1.1701244813278011,3
26.0,No,Travel_Frequently,Research & Development,9.0,Bachelor,Life Sciences,1,27,Female,1,Manager,Married,162910.0,1.0,Y,22.0,8.0,0,5.0,3.0,5.0,3.0,3.0,1.0,1.0,3.0,3,4,2616.0,10.233611111111113,11.963055555555556,10.976944444444444,17.783333333333335,10.0,0.04016064257028112,12.0,22.0,1.313253012048193,1.3682008368200838,1
37.0,No,Travel_Rarely,Sales,5.0,Below,Marketing,1,28,Male,1,Research Scientist,Single,27050.0,1.0,Y,11.0,8.0,0,17.0,2.0,17.0,5.0,7.0,4.0,4.0,3.0,3,3,1776.0,6.871111111111111,8.349166666666667,7.604444444444446,17.75,13.0,0.052208835341365466,12.0,25.0,0.891566265060241,0.940677966101695,1
44.0,Yes,Travel_Frequently,Research & Development,1.0,College,Medical,1,29,Male,2,Research Scientist,Divorced,103330.0,3.0,Y,14.0,8.0,1,19.0,2.0,1.0,0.0,0.0,4.0,3.0,1.0,2,3,2664.0,10.083055555555557,11.830833333333333,10.9775,18.7,6.0,0.024096385542168683,12.0,18.0,1.3373493975903614,1.3703703703703705,0
38.0,No,Travel_Rarely,Sales,2.0,Bachelor,Marketing,1,30,Female,1,Manager,Divorced,44480.0,9.0,Y,12.0,8.0,0,10.0,3.0,2.0,1.0,2.0,4.0,4.0,3.0,2,3,1560.0,6.011111111111112,7.616388888888888,6.831111111111111,16.883333333333333,19.0,0.07630522088353414,12.0,31.0,0.7831325301204819,0.8478260869565217,2
26.0,Yes,Travel_Rarely,Research & Development,4.0,Bachelor,Medical,1,31,Male,3,Research Scientist,Divorced,68540.0,2.0,Y,11.0,8.0,0,5.0,5.0,3.0,0.0,2.0,1.0,2.0,3.0,2,3,2400.0,9.360555555555557,10.833611111111109,10.109166666666667,18.45,11.0,0.04417670682730924,12.0,23.0,1.2048192771084338,1.2605042016806722,0
28.0,No,Travel_Rarely,Research & Development,7.0,Bachelor,Other,1,32,Male,1,Human Resources,Single,96370.0,1.0,Y,13.0,8.0,0,5.0,6.0,5.0,0.0,2.0,4.0,4.0,3.0,2,3,1608.0,5.821111111111112,7.644722222222222,6.7094444444444425,17.983333333333334,7.0,0.028112449799196783,12.0,19.0,0.8072289156626506,0.8305785123966942,1
49.0,No,Travel_Frequently,Research & Development,1.0,Below,Medical,1,33,Female,2,Research Scientist,Single,35910.0,9.0,Y,13.0,8.0,0,22.0,2.0,3.0,1.0,2.0,3.0,1.0,3.0,3,3,2448.0,9.471388888888887,11.409444444444444,10.518055555555557,17.916666666666668,15.0,0.060240963855421686,12.0,27.0,1.2289156626506024,1.3076923076923077,0
36.0,No,Travel_Rarely,Sales,5.0,Bachelor,Technical Degree,1,34,Male,3,Sales Executive,Single,54050.0,4.0,Y,14.0,8.0,0,10.0,2.0,8.0,7.0,7.0,3.0,2.0,3.0,3,3,1488.0,5.405833333333334,6.8855555555555545,6.182777777777778,16.65,6.0,0.024096385542168683,12.0,18.0,0.7469879518072289,0.7654320987654321,2
31.0,No,Travel_Frequently,Research & Development,9.0,Master,Medical,1,35,Male,1,Sales Executive,Divorced,46840.0,1.0,Y,16.0,8.0,1,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,3,3,1560.0,5.744722222222222,7.480277777777778,6.586388888888888,17.9,9.0,0.03614457831325301,12.0,21.0,0.7831325301204819,0.8125,1
26.0,Yes,Travel_Rarely,Research & Development,8.0,Bachelor,Medical,1,36,Male,2,Manager,Single,157870.0,1.0,Y,12.0,8.0,2,8.0,5.0,8.0,7.0,4.0,4.0,4.0,3.0,3,3,2376.0,9.2125,11.146388888888891,10.272222222222222,18.2,17.0,0.06827309236947791,12.0,29.0,1.1927710843373494,1.2801724137931034,1
37.0,No,Travel_Frequently,Sales,9.0,Below,Marketing,1,37,Male,1,Laboratory Technician,Married,15140.0,1.0,Y,14.0,8.0,0,4.0,3.0,4.0,1.0,2.0,2.0,4.0,2.0,3,3,2400.0,9.285277777777775,10.833611111111109,9.9825,17.15,7.0,0.028112449799196783,12.0,19.0,1.2048192771084338,1.2396694214876034,1
42.0,No,Travel_Frequently,Sales,2.0,College,Marketing,1,38,Male,3,Research Director,Married,29560.0,5.0,Y,13.0,8.0,0,23.0,2.0,20.0,4.0,8.0,3.0,2.0,4.0,3,3,1368.0,5.231388888888889,6.575,5.979444444444446,17.816666666666666,19.0,0.07630522088353414,12.0,31.0,0.6867469879518072,0.7434782608695653,3
18.0,Yes,Travel_Rarely,Research & Development,1.0,Master,Life Sciences,1,39,Male,1,Sales Executive,Single,23350.0,1.0,Y,14.0,8.0,2,0.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,2,3,1536.0,6.017222222222222,7.505277777777778,6.775833333333333,17.516666666666666,22.0,0.08835341365461848,12.0,34.0,0.7710843373493976,0.8458149779735683,1
35.0,No,Travel_Rarely,Sales,20.0,College,Life Sciences,1,40,Male,1,Laboratory Technician,Married,51540.0,0.0,Y,19.0,8.0,0,12.0,2.0,11.0,6.0,9.0,3.0,2.0,2.0,2,3,1824.0,6.8069444444444445,8.585,7.69,18.33333333333333,10.0,0.04016064257028112,12.0,22.0,0.9156626506024096,0.9539748953974896,1
36.0,No,Travel_Frequently,Research & Development,8.0,Bachelor,Other,1,41,Female,3,Sales Executive,Married,69620.0,4.0,Y,12.0,8.0,2,4.0,2.0,1.0,0.0,0.0,3.0,4.0,3.0,2,3,1752.0,6.356111111111112,7.938611111111111,7.204722222222222,17.066666666666666,5.0,0.02008032128514056,12.0,17.0,0.8795180722891566,0.8975409836065574,2
51.0,No,Travel_Rarely,Research & Development,2.0,Bachelor,Life Sciences,1,42,Male,2,Laboratory Technician,Divorced,56750.0,5.0,Y,13.0,8.0,0,13.0,2.0,4.0,1.0,2.0,4.0,2.0,3.0,2,3,1776.0,6.849166666666667,8.278333333333334,7.594722222222222,18.3,14.0,0.056224899598393566,12.0,26.0,0.891566265060241,0.9446808510638298,2
41.0,No,Travel_Rarely,Research & Development,29.0,Below,Life Sciences,1,43,Male,1,Laboratory Technician,Single,23790.0,1.0,Y,12.0,8.0,0,22.0,6.0,22.0,0.0,4.0,4.0,2.0,3.0,3,3,1680.0,5.815277777777778,7.9608333333333325,6.9525,19.066666666666666,7.0,0.028112449799196783,12.0,19.0,0.8433734939759037,0.8677685950413223,1
18.0,No,Travel_Rarely,Sales,7.0,Bachelor,Life Sciences,1,44,Male,1,Research Scientist,Single,38120.0,1.0,Y,15.0,8.0,0,0.0,3.0,0.0,0.0,0.0,4.0,3.0,3.0,3,3,1680.0,6.016388888888889,7.976944444444443,7.008611111111112,18.883333333333333,9.0,0.03614457831325301,12.0,21.0,0.8433734939759037,0.875,1
28.0,No,Travel_Rarely,Research & Development,9.0,Bachelor,Medical,1,45,Male,1,Sales Representative,Single,46480.0,0.0,Y,23.0,8.0,2,9.0,2.0,8.0,0.0,7.0,2.0,1.0,3.0,2,4,1752.0,6.442222222222222,8.04111111111111,7.201388888888888,17.75,5.0,0.02008032128514056,12.0,17.0,0.8795180722891566,0.8975409836065574,1
31.0,No,Travel_Rarely,Research & Development,8.0,Below,Technical Degree,1,46,Male,1,Manufacturing Director,Married,29360.0,4.0,Y,12.0,8.0,1,10.0,2.0,8.0,7.0,7.0,2.0,4.0,2.0,3,3,1704.0,6.257777777777778,8.036111111111111,7.172777777777778,18.483333333333334,9.0,0.03614457831325301,12.0,21.0,0.8554216867469879,0.8875,2
39.0,No,Travel_Rarely,Sales,5.0,Master,Marketing,1,47,Female,2,Human Resources,Divorced,21050.0,0.0,Y,20.0,8.0,0,19.0,3.0,18.0,3.0,7.0,3.0,4.0,2.0,3,4,1776.0,6.6708333333333325,8.457222222222223,7.636666666666668,18.7,14.0,0.056224899598393566,12.0,26.0,0.891566265060241,0.9446808510638298,1
36.0,No,Non-Travel,Research & Development,5.0,Master,Life Sciences,1,48,Male,1,Sales Executive,Married,85780.0,7.0,Y,21.0,8.0,0,11.0,4.0,9.0,0.0,8.0,2.0,2.0,3.0,3,4,1848.0,7.147777777777778,8.716666666666667,7.832777777777778,17.766666666666666,12.0,0.04819277108433735,12.0,24.0,0.927710843373494,0.9746835443037974,2
32.0,No,Travel_Rarely,Sales,2.0,Bachelor,Marketing,1,49,Male,2,Laboratory Technician,Married,27060.0,1.0,Y,21.0,8.0,1,13.0,4.0,13.0,4.0,8.0,4.0,3.0,2.0,3,4,1560.0,5.958611111111112,7.882777777777778,6.974722222222222,18.7,22.0,0.08835341365461848,12.0,34.0,0.7831325301204819,0.8590308370044053,1
38.0,No,Travel_Rarely,Research & Development,5.0,College,Life Sciences,1,50,Female,3,Research Scientist,Married,63840.0,3.0,Y,19.0,8.0,2,19.0,4.0,10.0,0.0,1.0,1.0,2.0,3.0,2,3,1560.0,6.215833333333332,7.661111111111111,6.9063888888888885,17.366666666666667,21.0,0.08433734939759037,12.0,33.0,0.7831325301204819,0.8552631578947368,3
58.0,No,Non-Travel,Research & Development,2.0,Bachelor,Life Sciences,1,51,Male,2,Manufacturing Director,Divorced,39680.0,2.0,Y,13.0,8.0,2,12.0,3.0,5.0,1.0,2.0,4.0,3.0,3.0,2,3,2616.0,9.999166666666667,12.064444444444444,10.895277777777777,18.25,7.0,0.028112449799196783,12.0,19.0,1.313253012048193,1.3512396694214877,0
31.0,No,Travel_Rarely,Research & Development,20.0,Below,Technical Degree,1,52,Female,3,Research Scientist,Married,99070.0,0.0,Y,13.0,8.0,1,6.0,3.0,5.0,0.0,3.0,3.0,4.0,3.0,2,3,2160.0,8.405,9.955833333333333,9.125555555555557,18.183333333333334,12.0,0.04819277108433735,12.0,24.0,1.0843373493975903,1.139240506329114,1
31.0,No,Travel_Rarely,Sales,7.0,Master,Marketing,1,53,Male,2,Sales Executive,Married,132250.0,3.0,Y,21.0,8.0,1,9.0,2.0,2.0,1.0,0.0,1.0,1.0,3.0,3,4,1632.0,6.041388888888888,7.644722222222222,6.831388888888888,16.733333333333334,10.0,0.04016064257028112,12.0,22.0,0.8192771084337349,0.8535564853556485,2
45.0,No,Travel_Frequently,Research & Development,3.0,Below,Medical,1,54,Female,1,Sales Executive,Divorced,35400.0,1.0,Y,13.0,8.0,0,24.0,6.0,24.0,9.0,11.0,1.0,1.0,3.0,3,3,1704.0,6.6194444444444445,8.19,7.315833333333333,18.616666666666667,13.0,0.052208835341365466,12.0,25.0,0.8554216867469879,0.9025423728813561,1
31.0,No,Travel_Rarely,Sales,16.0,Master,Marketing,1,55,Female,2,Research Scientist,Divorced,28040.0,0.0,Y,19.0,8.0,2,3.0,0.0,2.0,2.0,2.0,3.0,4.0,1.0,3,3,2088.0,7.765555555555554,9.470833333333333,8.610555555555555,18.683333333333334,5.0,0.02008032128514056,12.0,17.0,1.0481927710843373,1.069672131147541,1
33.0,No,Travel_Frequently,Research & Development,9.0,Bachelor,Life Sciences,1,56,Male,4,Research Director,Married,193920.0,6.0,Y,12.0,8.0,1,12.0,3.0,10.0,8.0,8.0,4.0,2.0,3.0,3,3,1608.0,6.0475,7.746111111111111,6.784722222222222,17.7,12.0,0.04819277108433735,12.0,24.0,0.8072289156626506,0.8481012658227848,3
39.0,No,Travel_Rarely,Sales,1.0,Master,Life Sciences,1,57,Male,1,Sales Executive,Married,196650.0,1.0,Y,22.0,8.0,1,21.0,6.0,21.0,11.0,10.0,3.0,1.0,3.0,3,4,2688.0,10.161388888888887,11.811111111111114,10.985833333333336,18.95,4.0,0.01606425702811245,12.0,16.0,1.3493975903614457,1.3714285714285714,1
43.0,No,Travel_Frequently,Research & Development,7.0,Master,Medical,1,58,Male,4,Research Scientist,Single,24390.0,0.0,Y,15.0,8.0,0,9.0,2.0,8.0,1.0,7.0,3.0,4.0,3.0,3,3,1728.0,6.945277777777778,8.505555555555556,7.686388888888889,18.15,22.0,0.08835341365461848,12.0,34.0,0.8674698795180723,0.9515418502202644,1
49.0,No,Travel_Rarely,Research & Development,1.0,Bachelor,Life Sciences,1,59,Male,3,Manufacturing Director,Single,73140.0,7.0,Y,22.0,8.0,0,25.0,2.0,7.0,0.0,7.0,3.0,3.0,3.0,3,4,2400.0,9.053055555555558,10.881666666666666,9.948611111111113,18.78333333333333,6.0,0.024096385542168683,12.0,18.0,1.2048192771084338,1.2345679012345678,3
52.0,Yes,Travel_Rarely,Research & Development,7.0,Below,Life Sciences,1,60,Female,2,Research Scientist,Married,47740.0,2.0,Y,18.0,8.0,1,11.0,2.0,8.0,7.0,7.0,3.0,2.0,2.0,3,3,1872.0,7.198333333333332,8.951666666666666,7.905277777777778,18.716666666666665,10.0,0.04016064257028112,12.0,22.0,0.9397590361445785,0.9790794979079498,2
27.0,No,Travel_Rarely,Research & Development,15.0,Master,Medical,1,61,Male,3,Research Scientist,Single,39020.0,1.0,Y,22.0,8.0,0,4.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,3,4,2592.0,9.976111111111113,11.535277777777774,10.672222222222222,18.08333333333333,5.0,0.02008032128514056,12.0,17.0,1.3012048192771084,1.3278688524590163,1
32.0,No,Travel_Rarely,Research & Development,1.0,Bachelor,Life Sciences,1,62,Male,3,Research Scientist,Married,26620.0,1.0,Y,11.0,8.0,1,13.0,6.0,13.0,11.0,9.0,3.0,2.0,3.0,4,3,2496.0,9.639444444444443,11.326666666666664,10.496111111111109,17.483333333333334,10.0,0.04016064257028112,12.0,22.0,1.2530120481927711,1.3054393305439331,1
27.0,No,Travel_Rarely,Research & Development,13.0,College,Medical,1,63,Female,4,Research Director,Single,28560.0,1.0,Y,12.0,8.0,2,5.0,5.0,5.0,0.0,4.0,4.0,3.0,3.0,4,3,2304.0,9.158333333333333,10.885,10.069166666666666,18.75,18.0,0.07228915662650602,12.0,30.0,1.1566265060240963,1.2467532467532467,1
31.0,No,Travel_Rarely,Sales,24.0,Bachelor,Life Sciences,1,64,Male,2,Healthcare Representative,Divorced,10810.0,4.0,Y,11.0,8.0,3,13.0,4.0,7.0,1.0,7.0,4.0,4.0,3.0,4,3,1584.0,5.730277777777778,7.464722222222222,6.606944444444443,17.683333333333334,6.0,0.024096385542168683,12.0,18.0,0.7951807228915663,0.8148148148148148,2
32.0,No,Travel_Rarely,Research & Development,7.0,Bachelor,Technical Degree,1,65,Male,2,Healthcare Representative,Single,24720.0,7.0,Y,13.0,8.0,0,10.0,2.0,7.0,0.0,7.0,1.0,4.0,2.0,3,3,1776.0,6.531944444444443,8.257777777777777,7.497777777777778,16.983333333333334,12.0,0.04819277108433735,12.0,24.0,0.891566265060241,0.9367088607594936,2
28.0,Yes,Travel_Rarely,Research & Development,9.0,Master,Medical,1,66,Male,1,Sales Executive,Married,56730.0,5.0,Y,14.0,8.0,1,5.0,4.0,3.0,2.0,2.0,1.0,4.0,2.0,2,3,2640.0,9.872777777777776,11.388611111111109,10.727222222222222,16.366666666666667,2.0,0.008032128514056224,12.0,14.0,1.3253012048192772,1.3360323886639676,0
30.0,No,Travel_Rarely,Research & Development,13.0,Bachelor,Life Sciences,1,67,Female,4,Research Director,Married,41970.0,1.0,Y,13.0,8.0,0,11.0,3.0,10.0,1.0,9.0,4.0,4.0,3.0,3,3,1416.0,5.477222222222222,6.918055555555554,6.184722222222222,18.066666666666666,17.0,0.06827309236947791,12.0,29.0,0.7108433734939759,0.7629310344827587,2
31.0,No,Travel_Frequently,Research & Development,2.0,Below,Life Sciences,1,68,Female,1,Manager,Married,97130.0,1.0,Y,17.0,8.0,0,10.0,5.0,10.0,8.0,9.0,3.0,3.0,3.0,2,3,1488.0,5.759444444444443,7.3075,6.609166666666668,16.733333333333334,22.0,0.08835341365461848,12.0,34.0,0.7469879518072289,0.8193832599118943,1
39.0,No,Travel_Frequently,Research & Development,19.0,Master,Medical,1,69,Female,1,Research Scientist,Married,20620.0,1.0,Y,13.0,8.0,0,21.0,4.0,21.0,13.0,3.0,3.0,4.0,3.0,3,3,1368.0,5.339166666666666,6.844444444444443,6.076111111111112,16.816666666666666,21.0,0.08433734939759037,12.0,33.0,0.6867469879518072,0.75,1
39.0,Yes,Travel_Rarely,Research & Development,1.0,Below,Medical,1,70,Female,1,Laboratory Technician,Married,42840.0,4.0,Y,17.0,8.0,1,12.0,0.0,1.0,0.0,0.0,4.0,3.0,2.0,3,3,2448.0,9.200833333333334,10.715833333333334,9.971666666666666,17.116666666666667,3.0,0.012048192771084338,12.0,15.0,1.2289156626506024,1.2439024390243902,0
33.0,No,Travel_Frequently,Sales,4.0,College,Life Sciences,1,71,Male,4,Research Scientist,Single,47880.0,3.0,Y,11.0,8.0,1,9.0,0.0,7.0,0.0,1.0,2.0,4.0,2.0,3,3,1776.0,6.698611111111112,8.068888888888889,7.421388888888888,17.5,7.0,0.028112449799196783,12.0,19.0,0.891566265060241,0.9173553719008264,0
